Customer ID,Credit Score,Number of Open Accounts,Number of Late Payments,Loan Amount,Loan Status,Collateral
CUST001,732,7,4,32649.39,Active,House
CUST002,412,8,3,30954.16,Active,nan
CUST003,801,2,3,33774.73,Active,nan
CUST004,489,8,4,12970.87,Active,House
CUST005,423,8,2,42464.62,Active,House
CUST006,503,8,4,30619.76,Active,nan
CUST007,477,7,2,5611.46,Defaulted,nan
CUST008,420,2,3,33872.67,Active,nan
CUST009,528,1,0,31633.13,Active,Car
CUST010,376,4,0,5887.63,Active,nan
CUST011,683,1,2,40652.3,Active,nan
CUST012,662,2,1,15001.02,Active,nan
CUST013,313,8,2,16157.47,Active,nan
CUST014,421,7,2,22843.45,Active,House
CUST015,670,4,2,19057.12,Active,nan
CUST016,389,7,0,41157.95,Active,nan
CUST017,808,9,4,8348.72,Active,House
CUST018,350,7,3,30953.87,Active,House
CUST019,624,4,0,47220.24,Active,nan
CUST020,373,8,0,30004.09,Active,Car
CUST021,544,9,2,9662.48,Active,nan
CUST022,531,6,1,6069.15,Active,nan
CUST023,446,9,1,22233.25,Active,House
CUST024,410,8,4,35056.09,Active,nan
CUST025,509,4,0,19322.43,Active,nan
CUST026,439,7,2,40862.94,Active,nan
CUST027,680,6,3,12146.05,Active,nan
CUST028,314,8,1,27785.68,Active,nan
CUST029,435,1,4,46915.86,Active,nan
CUST030,678,1,2,36215.06,Active,nan
CUST031,444,7,1,15745.34,Active,nan
CUST032,352,5,2,17823.8,Active,House
CUST033,386,1,2,18227.28,Active,Car
CUST034,631,7,1,13166.22,Active,nan
CUST035,623,4,4,38131.75,Active,Car
CUST036,513,4,0,12488.73,Active,House
CUST037,450,3,2,14330.6,Active,Car
CUST038,842,1,0,40772.82,Active,House
CUST039,398,9,4,37491.48,Active,nan
CUST040,465,6,2,13788.39,Active,nan
CUST041,548,3,2,22105.25,Active,nan
CUST042,555,9,3,26586.64,Active,nan
CUST043,610,3,3,7721.56,Active,nan
CUST044,544,6,4,14495.78,Active,House
CUST045,688,9,1,39004.85,Defaulted,nan
CUST046,848,3,1,44907.44,Active,nan
CUST047,646,9,1,23506.03,Defaulted,nan
CUST048,536,1,4,7002.59,Active,nan
CUST049,420,7,2,5868.42,Active,House
CUST050,457,6,2,31192.22,Defaulted,nan
CUST051,482,4,0,22093.17,Active,nan
CUST052,827,8,1,44648.68,Active,nan
CUST053,315,5,2,13998.78,Active,Car
CUST054,562,6,0,18217.15,Active,nan
CUST055,831,3,2,16477.79,Active,nan
CUST056,538,8,2,17820.91,Active,Car
CUST057,520,3,2,13736.79,Active,nan
CUST058,754,6,2,35662.36,Active,House
CUST059,538,2,2,35053.22,Active,nan
CUST060,505,7,1,16448.34,Active,nan
CUST061,369,5,3,21316.76,Active,nan
CUST062,379,1,0,30434.81,Active,House
CUST063,388,3,1,46000.13,Active,nan
CUST064,585,8,4,37068.62,Active,House
CUST065,428,9,4,27900.41,Defaulted,nan
CUST066,541,5,2,20333.02,Active,nan
CUST067,692,6,0,46314.13,Active,nan
CUST068,405,7,3,41972.21,Active,Car
CUST069,689,8,2,41322.68,Active,nan
CUST070,737,5,1,19387.9,Active,nan
CUST071,709,2,2,20389.25,Active,nan
CUST072,438,9,1,6481.11,Active,House
CUST073,356,2,4,39254.13,Active,nan
CUST074,331,5,0,34787.42,Defaulted,nan
CUST075,658,6,3,25520.17,Active,Car
CUST076,339,3,1,48801.98,Active,House
CUST077,583,8,2,46497.76,Active,Car
CUST078,702,9,2,38279.99,Active,Car
CUST079,809,1,3,16096.23,Active,House
CUST080,356,9,1,20412.91,Active,House
CUST081,833,6,2,16799.38,Defaulted,nan
CUST082,479,3,0,24451.28,Active,House
CUST083,773,3,0,43719.28,Active,House
CUST084,377,9,1,34716.35,Active,Car
CUST085,777,7,2,36907.35,Active,nan
CUST086,638,6,4,38607.05,Active,Car
CUST087,752,4,3,19501.57,Active,nan
CUST088,424,1,1,25144.09,Active,nan
CUST089,753,2,2,41148.41,Active,nan
CUST090,364,3,3,45310.07,Active,House
CUST091,817,9,2,45525.79,Active,nan
CUST092,712,8,2,49983.73,Active,nan
CUST093,471,2,1,9939.41,Active,nan
CUST094,584,6,0,23547.22,Active,nan
CUST095,482,9,1,8277.92,Active,nan
CUST096,330,3,2,5340.45,Active,nan
CUST097,326,4,1,22049.02,Active,House
CUST098,787,6,1,20752.46,Active,nan
CUST099,710,3,3,23893.12,Active,House
CUST100,833,2,2,10886.44,Active,nan
